size is 31  speed is 0.0552172744140625
size is 32  speed is 0.0599594599609375
size is 96  speed is 2.056981109375
size is 97  speed is 2.212001859375
size is 127  speed is 7.9785584375
size is 128  speed is 10.4098393125
size is 129  speed is 11.480018124999999
size is 191  speed is 37.35407275
size is 192  speed is 36.5669635
size is 229  speed is 66.71305199999999
size is 255  speed is 88.27694949999999
size is 256  speed is 96.121192
size is 257  speed is 90.4633755
size is 319  speed is 173.277215
size is 320  speed is 175.900886
size is 321  speed is 174.288644
size is 417  speed is 399.597026
size is 479  speed is 610.949646
size is 480  speed is 599.612708
size is 511  speed is 719.0735000000001
size is 512  speed is 792.6761839999999
size is 639  speed is 1433.120258
size is 640  speed is 1478.1660379999998
size is 767  speed is 2611.944207
size is 768  speed is 3005.311103
size is 769  speed is 2762.695921
size is 1000  speed is 6374.162829
