Description:	DGEMM cache blocked 32 * 32 * 32 and register blocked 2 * 2
Size: 31	 Time/s: 0.007933	 Mflop/s:  3755.47	Percentage: 35.16
Size: 32	 Time/s: 0.007500	 Mflop/s:  4369.31	Percentage: 40.91
Size: 96	 Time/s: 0.206580	 Mflop/s:  4282.78	Percentage: 40.10
Size: 97	 Time/s: 0.227978	 Mflop/s:  4003.33	Percentage: 37.48
Size: 127	 Time/s: 0.500629	 Mflop/s:  4091.62	Percentage: 38.31
Size: 128	 Time/s: 0.525164	 Mflop/s:  3993.32	Percentage: 37.39
Size: 129	 Time/s: 0.531414	 Mflop/s:  4039.58	Percentage: 37.82
Size: 191	 Time/s: 1.676735	 Mflop/s:  4155.62	Percentage: 38.91
Size: 192	 Time/s: 1.648735	 Mflop/s:  4292.92	Percentage: 40.20
Size: 229	 Time/s: 2.916437	 Mflop/s:  4117.69	Percentage: 38.56
Size: 255	 Time/s: 4.250564	 Mflop/s:  3900.98	Percentage: 36.53
Size: 256	 Time/s: 5.355693	 Mflop/s:  3132.59	Percentage: 29.33
Size: 257	 Time/s: 4.416876	 Mflop/s:  3843.12	Percentage: 35.98
Size: 319	 Time/s: 7.814929	 Mflop/s:  4153.81	Percentage: 38.89
Size: 320	 Time/s: 7.662684	 Mflop/s:  4276.31	Percentage: 40.04
Size: 321	 Time/s: 8.083373	 Mflop/s:  4091.88	Percentage: 38.31
Size: 417	 Time/s: 18.102378	 Mflop/s:  4005.65	Percentage: 37.51
Size: 479	 Time/s: 27.157724	 Mflop/s:  4046.81	Percentage: 37.89
Size: 480	 Time/s: 26.576221	 Mflop/s:  4161.31	Percentage: 38.96
Size: 511	 Time/s: 36.239505	 Mflop/s:  3681.97	Percentage: 34.48
Size: 512	 Time/s: 44.591248	 Mflop/s:  3009.96	Percentage: 28.18
Size: 639	 Time/s: 66.345453	 Mflop/s:  3932.71	Percentage: 36.82
Size: 640	 Time/s: 69.413900	 Mflop/s:  3776.53	Percentage: 35.36
Size: 767	 Time/s: 118.788004	 Mflop/s:  3798.51	Percentage: 35.57
Size: 768	 Time/s: 152.480483	 Mflop/s:  2970.77	Percentage: 27.82
Size: 769	 Time/s: 122.277498	 Mflop/s:  3719.05	Percentage: 34.82
Size: 1000	 Time/s: 253.288031	 Mflop/s:  3948.07	Percentage: 36.97
Average percent peak = 36.6041	Grade = 54.9062
