size is 31  speed is 0.003121630981445313
size is 32  speed is 0.002506897659301758
size is 96  speed is 0.01078060968017578
size is 97  speed is 0.013102245483398438
size is 127  speed is 0.024685785156249997
size is 128  speed is 0.03019710205078125
size is 129  speed is 0.02441241662597656
size is 191  speed is 0.11307073974609376
size is 192  speed is 0.063468794921875
size is 229  speed is 0.10874422460937501
size is 255  speed is 0.15271315429687501
size is 256  speed is 0.3610930546875
size is 257  speed is 0.266695560546875
size is 319  speed is 0.56332831640625
size is 320  speed is 0.56830538671875
size is 321  speed is 0.350403578125
size is 417  speed is 0.57922944921875
size is 479  speed is 0.83722534375
size is 480  speed is 0.905805265625
size is 511  speed is 1.2272110625
size is 512  speed is 2.561131
size is 639  speed is 2.0609311875
size is 640  speed is 2.2577853437499997
size is 767  speed is 3.5761927187499998
size is 768  speed is 3.5877561875
size is 769  speed is 3.58187090625
size is 1000  speed is 9.6289491875

